day,value,event
238,119.64,0
239,118.72,0
240,119.8,0
241,118.88,0
242,119.96,0
243,119.04,0
244,120.12,0
245,119.2,0
246,120.28,0
247,119.36,0
248,120.44,0
249,119.52,0
250,120.6,0
251,119.68,0
252,120.76,0
253,119.84,0
254,120.92,0
255,120.0,0
256,121.08,0
257,120.16,0
258,121.24,0
259,120.32,0
260,148.32,1
261,120.48,0
262,121.56,0
263,120.64,0
264,121.72,0
265,120.8,0
266,121.88,0
267,120.96,0
268,122.04,0
269,121.12,0
270,122.2,0
271,121.28,0
272,122.36,0
273,121.44,0
274,122.52,0
275,121.6,0
276,122.68,0
277,121.76,0
278,122.84,0
279,121.92,0
280,123.0,0
281,122.08,0
282,123.16,0
283,122.24,0
284,123.32,0
285,122.4,0
286,123.48,0
287,122.56,0
288,123.64,0
289,122.72,0
290,123.8,0
291,122.88,0
292,123.96,0
293,123.04,0
294,124.12,0
295,123.2,0
296,124.28,0
297,123.36,0
298,124.44,0
299,123.52,0
300,124.6,0
301,123.68,0
302,124.76,0
303,123.84,0
304,124.92,0
305,124.0,0
306,125.08,0
307,124.16,0
308,125.24,0
309,124.32,0
310,125.4,0
311,124.48,0
312,125.56,0
313,124.64,0
314,125.72,0
315,124.8,0
316,125.88,0
317,124.96,0
318,126.04,0
319,125.12,0
320,126.2,0
321,125.28,0
322,126.36,0
323,125.44,0
324,126.52,0
325,125.6,0
326,126.68,0
327,125.76,0
328,126.84,0
329,125.92,0
330,127.0,0
331,126.08,0
332,127.16,0
333,126.24,0
334,127.32,0
335,126.4,0
336,127.48,0
337,126.56,0
338,127.64,0
339,126.72,0
340,154.72,0
341,126.88,0
342,127.96,0
343,127.04,0
344,128.12,0
345,127.2,0
346,128.28,0
347,127.36,0
348,128.44,0
349,127.52,0
350,128.6,0
351,127.68,0
352,128.76,0
353,127.84,0
354,128.92,0
355,128.0,0
356,129.08,0
357,128.16,0
358,129.24,0
359,128.32,0
360,129.4,0
361,128.48,0
362,129.56,0
363,128.64,0
364,129.72,0
365,128.8,0
366,129.88,0
367,128.96,0
368,130.04,0
369,129.12,0
370,130.2,0
371,129.28,0
372,130.36,0
373,129.44,0
374,130.52,0
375,129.6,0
376,130.68,0
377,129.76,0
378,130.84,0
379,129.92,0
380,131.0,0
381,130.08,0
382,131.16,0
383,130.24,0
384,131.32,0
385,130.4,0
386,131.48,0
387,130.56,0
388,131.64,0
389,130.72,0
390,131.8,0
391,130.88,0
392,131.96,0
393,131.04,0
394,132.12,0
395,131.2,0
396,132.28,0
397,131.36,0
398,132.44,0
399,131.52,0
400,132.6,0
401,131.68,0
402,132.76,0
403,131.84,0
404,132.92,0
405,132.0,0
406,133.08,0
407,132.16,0
408,133.24,0
409,132.32,0
410,133.4,0
411,132.48,0
412,133.56,0
413,132.64,0
414,133.72,0
415,132.8,0
416,133.88,0
417,132.96,0
418,134.04,0
419,133.12,0
420,161.12,1
421,133.28,0
422,134.36,0
423,133.44,0
424,134.52,0
425,133.6,0
426,134.68,0
427,133.76,0
428,134.84,0
429,133.92,0
430,135.0,0
431,134.08,0
432,135.16,0
433,134.24,0
434,135.32,0
435,134.4,0
436,135.48,0
437,134.56,0
438,135.64,0
439,134.72,0
440,135.8,0
441,134.88,0
442,135.96,0
443,135.04,0
444,136.12,0
445,135.2,0
446,136.28,0
447,135.36,0
448,136.44,0
449,135.52,0
450,136.6,0
451,135.68,0
452,136.76,0
453,135.84,0
454,136.92,0
455,136.0,0
456,137.08,0
457,136.16,0
458,137.24,0
459,136.32,0
460,137.4,0
461,136.48,0
462,137.56,0
463,136.64,0
464,137.72,0
465,136.8,0
466,137.88,0
467,136.96,0
468,138.04,0
469,137.12,0
470,138.2,0
471,137.28,0
472,138.36,0
473,137.44,0
474,138.52,0
475,137.6,0
476,138.68,0
477,137.76,0
478,138.84,0
479,137.92,0
480,139.0,0
481,138.08,0
482,139.16,0
483,138.24,0
484,139.32,0
485,138.4,0
486,139.48,0
487,138.56,0
488,139.64,0
489,138.72,0
490,139.8,0
491,138.88,0
492,139.96,0
493,139.04,0
494,140.12,0
495,139.2,0
496,140.28,0
497,139.36,0
498,140.44,0
499,139.52,0
500,167.52,1
